'sample interval','ax','ay','az','temp','EDA'
'0.125 sec','NU','NU','NU','degC','NU'
0,0.68997894,-0.90000000,0.06998505,28.90001526,0.70901653
1,0.68997894,-0.90000000,0.06998505,28.90001526,0.70901653
2,0.69997864,-0.90000000,0.06998505,28.90001526,0.70603455
3,0.68997894,-0.90000000,0.06998505,28.90001526,0.70603455
4,0.68997894,-0.90000000,0.05998077,28.70005799,0.69900851
5,0.68997894,-0.90000000,0.05998077,28.90001526,0.70101012
6,0.68997894,-0.90000000,0.06998505,28.90001526,0.70101012
7,0.67997925,-0.90000000,0.05998077,28.90001526,0.69402493
8,0.67997925,-0.90000000,0.06998505,28.90001526,0.69402493
9,0.68997894,-0.90000000,0.06998505,28.90001526,0.69402493
10,0.68997894,-0.90000000,0.06998505,28.90001526,0.68900050
11,0.68997894,-0.90000000,0.05998077,28.90001526,0.68601852
12,0.68997894,-0.90000000,0.06998505,28.90001526,0.68601852
13,0.67997925,-0.90000000,0.05998077,28.90001526,0.68201532
14,0.68997894,-0.90000000,0.06998505,28.90001526,0.67903334
15,0.67997925,-0.90000000,0.06998505,28.90001526,0.67903334
16,0.68997894,-0.90000000,0.06998505,28.90001526,0.67903334
17,0.68997894,-0.90000000,0.06998505,28.90001526,0.67903334
18,0.67997925,-0.90000000,0.05998077,28.90001526,0.67200731
19,0.68997894,-0.90000000,0.06998505,28.90001526,0.67200731
20,0.68997894,-0.90000000,0.06998505,28.90001526,0.67000571
21,0.68997894,-0.90000000,0.06998505,28.90001526,0.66702373
22,0.68997894,-0.90000000,0.06998505,28.90001526,0.66302052
23,0.68997894,-0.90000000,0.06998505,28.90001526,0.66400090
24,0.68997894,-0.90000000,0.06998505,28.90001526,0.66400090
25,0.68997894,-0.90000000,0.06998505,28.90001526,0.66204015
26,0.67997925,-0.90000000,0.06998505,28.90001526,0.65701572
27,0.68997894,-0.90000000,0.06998505,28.90001526,0.65701572
28,0.67997925,-0.90000000,0.06998505,28.90001526,0.65701572
29,0.68997894,-0.90000000,0.06998505,28.90001526,0.65301251
30,0.68997894,-0.90000000,0.06998505,28.90001526,0.65301251
31,0.67997925,-0.89001892,0.06998505,28.90001526,0.65003053
32,0.68997894,-0.90000000,0.05998077,28.90001526,0.65003053
33,0.68997894,-0.90000000,0.06998505,28.90001526,0.65003053
34,0.68997894,-0.90000000,0.06998505,28.90001526,0.64300450
35,0.68997894,-0.90000000,0.06998505,28.90001526,0.64300450
36,0.68997894,-0.90000000,0.06998505,28.90001526,0.63601932
37,0.68997894,-0.90000000,0.06998505,28.90001526,0.63601932
38,0.68997894,-0.91002838,0.06998505,28.90001526,0.63601932
39,0.67997925,-0.90000000,0.06998505,28.90001526,0.63303734
40,0.68997894,-0.90000000,0.06998505,28.90001526,0.63303734
41,0.68997894,-0.90000000,0.05998077,28.90001526,0.62903413
42,0.67997925,-0.90000000,0.06998505,28.90001526,0.62903413
43,0.68997894,-0.90000000,0.06998505,29.10003204,0.62903413
44,0.68997894,-0.90000000,0.06998505,28.90001526,0.62400970
45,0.68997894,-0.91002838,0.06998505,28.90001526,0.62102773
46,0.68997894,-0.91002838,0.05998077,28.90001526,0.62102773
47,0.67997925,-0.91002838,0.06998505,28.90001526,0.62102773
48,0.68997894,-0.90000000,0.06998505,28.90001526,0.61400169
49,0.67997925,-0.90000000,0.05998077,28.90001526,0.61302132
50,0.67997925,-0.90000000,0.05998077,28.90001526,0.61200009
51,0.68997894,-0.91002838,0.06998505,28.90001526,0.60803774
52,0.69997864,-0.90000000,0.06998505,28.90001526,0.60803774
53,0.68997894,-0.90000000,0.05998077,28.90001526,0.60803774
54,0.68997894,-0.91002838,0.06998505,28.90001526,0.60301331
55,0.68997894,-0.90000000,0.06998505,28.90001526,0.60301331
56,0.69997864,-0.91002838,0.06998505,28.90001526,0.60301331
57,0.67997925,-0.90000000,0.06998505,28.90001526,0.60101170
58,0.68997894,-0.90000000,0.06998505,28.90001526,0.60101170
59,0.67997925,-0.90000000,0.05998077,28.90001526,0.59402652
60,0.68997894,-0.91002838,0.06998505,28.90001526,0.59402652
61,0.66997955,-0.89001892,0.06998505,28.90001526,0.59402652
62,0.68997894,-0.91002838,0.06998505,28.90001526,0.58700049
63,0.68997894,-0.91002838,0.07998932,28.90001526,0.58503974
64,0.68997894,-0.90000000,0.06998505,29.10003204,0.58503974
65,0.67997925,-0.90000000,0.05998077,29.10003204,0.58303813
66,0.68997894,-0.90000000,0.06998505,29.10003204,0.58503974
67,0.67997925,-0.90000000,0.05998077,28.90001526,0.58303813
68,0.68997894,-0.90000000,0.06998505,29.10003204,0.58001531
69,0.68997894,-0.90000000,0.06998505,29.10003204,0.58001531
70,0.68997894,-0.91002838,0.06998505,28.90001526,0.58001531
71,0.67997925,-0.90000000,0.06998505,29.10003204,0.57601210
72,0.67997925,-0.90000000,0.06998505,29.10003204,0.57303012
73,0.67997925,-0.90000000,0.06998505,28.90001526,0.57303012
74,0.68997894,-0.90000000,0.06998505,29.10003204,0.57303012
75,0.67997925,-0.90000000,0.05998077,28.90001526,0.56600409
76,0.68997894,-0.90000000,0.06998505,29.10003204,0.56600409
77,0.67997925,-0.90000000,0.06998505,28.90001526,0.56600409
78,0.66997955,-0.91002838,0.05998077,29.10003204,0.56004013
79,0.68997894,-0.88003784,0.06998505,29.10003204,0.56004013
80,0.68997894,-0.92000946,0.04997650,29.10003204,0.56004013
81,0.74997711,-0.88003784,0.05998077,28.90001526,0.55603693
82,0.74997711,-0.90000000,0.03997223,29.10003204,0.55603693
83,0.77997620,-0.89001892,0.05998077,29.10003204,0.55603693
84,0.73997742,-0.93003784,0.10995727,29.10003204,0.55603693
85,0.71997803,-0.82000946,0.07998932,29.10003204,0.54402731
86,0.63998047,-0.90000000,0.04997650,29.10003204,0.52000809
87,0.68997894,-0.88003784,0.11996155,28.90001526,0.50803932
88,0.59998169,-0.91002838,0.06998505,29.10003204,0.52703412
89,0.62998077,-0.91002838,0.08999359,29.10003204,0.54002411
90,0.62998077,-0.88003784,0.08999359,28.90001526,0.54002411
91,0.60998138,-0.91002838,0.11996155,29.10003204,0.53303893
92,0.57998230,-0.94001892,0.11996155,29.10003204,0.53401930
93,0.51002319,-0.90000000,0.15997864,29.10003204,0.54500769
94,0.87997314,-1.10000000,0.08999359,29.10003204,0.54402731
95,0.74997711,-0.91002838,0.15997864,29.10003204,0.52401129
96,0.62998077,-0.91002838,0.15997864,28.90001526,0.51502451
97,0.50002350,-0.94001892,0.12996582,29.10003204,0.51902771
98,0.82997467,-0.85000000,0.11996155,29.10003204,0.52703412
99,0.66997955,-0.92000946,0.14997436,28.90001526,0.52801450
100,0.52002289,-0.96002838,0.12996582,29.10003204,0.53201770
101,0.69997864,-0.92000946,0.10995727,29.10003204,0.53303893
102,0.60998138,-0.91002838,0.13997009,29.10003204,0.53303893
103,0.61998108,-0.94001892,0.13997009,28.90001526,0.53303893
104,0.57002136,-0.95000000,0.12996582,29.10003204,0.53602091
105,0.58998199,-0.93003784,0.13997009,29.10003204,0.53602091
106,0.57998230,-0.95000000,0.14997436,29.10003204,0.53602091
107,0.58998199,-0.94001892,0.13997009,29.10003204,0.53201770
108,0.57998230,-0.95000000,0.13997009,29.10003204,0.53303893
109,0.57002136,-0.94001892,0.13997009,29.10003204,0.52903572
110,0.57002136,-0.95000000,0.13997009,29.10003204,0.52703412
111,0.57998230,-0.95000000,0.13997009,29.10003204,0.52503252
112,0.57002136,-0.94001892,0.13997009,29.10003204,0.52503252
113,0.57998230,-0.94001892,0.14997436,29.10003204,0.52503252
114,0.57002136,-0.94001892,0.13997009,28.90001526,0.52102931
115,0.57002136,-0.95000000,0.13997009,29.10003204,0.52503252
116,0.57002136,-0.95000000,0.13997009,29.10003204,0.52303092
117,0.57002136,-0.95000000,0.13997009,29.10003204,0.52000809
118,0.57002136,-0.95000000,0.13997009,29.10003204,0.51902771
119,0.57002136,-0.94001892,0.13997009,29.10003204,0.51902771
120,0.57002136,-0.95000000,0.13997009,29.10003204,0.51902771
121,0.57002136,-0.95000000,0.13997009,29.10003204,0.51902771
122,0.57002136,-0.95000000,0.13997009,29.10003204,0.51502451
123,0.57002136,-0.94001892,0.13997009,29.10003204,0.51200168
124,0.57002136,-0.95000000,0.13997009,29.10003204,0.51400328
125,0.57002136,-0.95000000,0.13997009,29.10003204,0.51400328
126,0.57002136,-0.95000000,0.14997436,29.10003204,0.51000008
127,0.56002167,-0.95000000,0.13997009,29.10003204,0.50701810
128,0.57002136,-0.94001892,0.13997009,29.10003204,0.50603772
129,0.56002167,-0.95000000,0.13997009,29.10003204,0.50701810
130,0.57002136,-0.95000000,0.13997009,29.10003204,0.50101329
131,0.57002136,-0.95000000,0.13997009,29.10003204,0.50003291
132,0.56002167,-0.95000000,0.13997009,29.10003204,0.50101329
133,0.56002167,-0.95000000,0.13997009,29.10003204,0.49402811
134,0.56002167,-0.95000000,0.13997009,29.10003204,0.49701009
135,0.56002167,-0.95000000,0.13997009,29.10003204,0.49402811
136,0.55002197,-0.95000000,0.14997436,29.10003204,0.49402811
137,0.55002197,-0.95000000,0.14997436,29.10003204,0.49300688
138,0.56002167,-0.95000000,0.14997436,29.10003204,0.49402811
