'sample interval','ax','ay','az','temp','EDA'
'0.125 sec','NU','NU','NU','degC','NU'
0,0.08001541,-1.02999969,0.11997436,29.50004578,0.60704978
1,0.08001541,-1.01996673,0.12997223,29.50004578,0.60704978
2,0.07001938,-1.01996673,0.12997223,29.50004578,0.60704978
3,0.08001541,-1.01996673,0.12997223,29.50004578,0.60704978
4,0.08001541,-1.01996673,0.12997223,29.50004578,0.60704978
5,0.09001144,-1.02999969,0.12997223,29.50004578,0.61009674
6,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
7,0.08001541,-1.01996673,0.12997223,29.50004578,0.60704978
8,0.08001541,-1.02999969,0.11997436,29.50004578,0.61009674
9,0.08001541,-1.01996673,0.12997223,29.50004578,0.60704978
10,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
11,0.08001541,-1.01996673,0.11997436,29.50004578,0.61009674
12,0.08001541,-1.01996673,0.12997223,29.50004578,0.60704978
13,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
14,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
15,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
16,0.09001144,-1.01996673,0.12997223,29.50004578,0.61009674
17,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
18,0.08001541,-1.01996673,0.11997436,29.50004578,0.61009674
19,0.08001541,-1.01996673,0.11997436,29.50004578,0.61009674
20,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
21,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
22,0.08001541,-1.01996673,0.12997223,29.50004578,0.61408124
23,0.08001541,-1.01996673,0.12997223,29.70000305,0.61408124
24,0.08001541,-1.01996673,0.12997223,29.50004578,0.61408124
25,0.08001541,-1.02999969,0.12997223,29.50004578,0.61009674
26,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
27,0.08001541,-1.01996673,0.12997223,29.50004578,0.61103427
28,0.08001541,-1.01996673,0.12997223,29.50004578,0.61408124
29,0.08001541,-1.01996673,0.12997223,29.50004578,0.61408124
30,0.08001541,-1.00997192,0.12997223,29.50004578,0.61103427
31,0.08001541,-1.01996673,0.12997223,29.50004578,0.61103427
32,0.08001541,-1.01996673,0.11997436,29.50004578,0.61408124
33,0.08001541,-1.02999969,0.12997223,29.50004578,0.61009674
34,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
35,0.07001938,-1.01996673,0.12997223,29.50004578,0.61103427
36,0.08001541,-1.01996673,0.12997223,29.50004578,0.61103427
37,0.08001541,-1.00997192,0.12997223,29.50004578,0.61009674
38,0.08001541,-1.01996673,0.12997223,29.50004578,0.61607349
39,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
40,0.08001541,-1.01996673,0.12997223,29.70000305,0.61009674
41,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
42,0.08001541,-1.01996673,0.12997223,29.50004578,0.61408124
43,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
44,0.07001938,-1.01996673,0.11997436,29.50004578,0.61009674
45,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
46,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
47,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
48,0.08001541,-1.01996673,0.12997223,29.70000305,0.61408124
49,0.07001938,-1.01996673,0.12997223,29.50004578,0.61009674
50,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
51,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
52,0.08001541,-1.00997192,0.12997223,29.50004578,0.61009674
53,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
54,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
55,0.07001938,-1.01996673,0.12997223,29.70000305,0.61009674
56,0.08001541,-1.01996673,0.12997223,29.50004578,0.60904202
57,0.08001541,-1.01996673,0.12997223,29.50004578,0.61103427
58,0.08001541,-1.00997192,0.12997223,29.50004578,0.61103427
59,0.08001541,-1.01996673,0.12997223,29.50004578,0.61009674
60,0.08001541,-1.01996673,0.11997436,29.50004578,0.61009674
